F_UserName,User_nIdx,F_Comment,conad,guide,cola,ocgnn,dmgd
让我成为自己的锚,15,你们上了ps4，虽然觉得不太可能了不过我还是希望可以的话上switch就可以让那些利益者闭嘴了,0,0,0,0,1
让我成为自己的锚,15,过审了，快开服呗,0,0,0,0,1
让我成为自己的锚,15,出ps5了会上ps5吗,0,0,0,0,1
眠悠然,1914,可以玩开心的游戏就是好游戏，不管是怎么做出来的，赚钱也是这个道理，这个社会就是那么现实[二哈],0,0,0,0,0
圈圈喵酱,1321,  [鼓掌],0,0,0,0,0
苟殉,1745,期待，什么时候出成品游玩啊,0,0,1,1,0
古韵流年5675516293,1743,想要内测资格 ,0,1,0,0,0
卖火柴的小男孩9160,1691,这不是塞尔达吗,0,0,0,1,0
可怕的喵2333,1273,米哈游加油，原神要做好啊，明年一定玩,0,0,0,0,1
可怕的喵2333,1273,我觉得一些辣眼睛的线上喷子才是癌，还是急性癌，在线上，您高贵，您能喷，动不动就让别人死妈。干货拿不出来，怼不过就喷，人家也没有求着让你玩，你想举报就举报，想跟风就跟风，想带节奏就带节奏，想恰烂钱就恰烂钱，别在评论区哔哔赖赖，早饭都要吐出来了。,0,0,0,0,1
可怕的喵2333,1273,您高贵，您配，行了吧,0,0,0,0,1
身在人间的阿叶,2769,加油！,0,0,0,1,1
身在人间的阿叶,2769,抽个奖加1,0,0,0,1,1
墨色鹤望兰,2589,塞尔达玩腻了，吹的有点过，其实一般，神庙都太简单了，啥时候能玩上原神啊，真香,0,0,0,0,0
YZM27368,2480,在，给个内测码？  [悲伤],0,1,0,0,0
小朱老師有墨水,856,什么时候公测？,0,0,0,0,0
少女不到80斤,378, ,0,0,0,1,0
斗鱼大明星梦想,2222,恭喜原神过审,0,0,0,0,0
有一种云vvv,1151,太黑暗了,0,0,0,1,0
PC端的炮灰战士,1361,之后我会去买一套塞尔达荒野之息补票，以表敬意,0,0,0,0,1
PC端的炮灰战士,1361,我也是个玩家，我也知道国产游戏圈的现状，但这次我不论如何我都支持米哈游，我不想看到米哈游倒下。如果说就是我这种人阻碍了中国游戏的发展那我认了，想喷的就过来喷吧，就算被喷死我也不会收回我说过的话。还有瓶子他是我很喜欢的UP主，虽然他的话让我很难受但他也没说错。,0,0,0,0,1
PC端的炮灰战士,1361,俩款游戏的视频解说我也都看过确实很像，让谁来对比都是一样，所以被说成抄袭无可厚非。但游戏史上最黑暗的一天就是胡扯了，当年的腾讯在满世界抄游戏时也没见有多大浪啊。每次看到有玩家在狂喷原神时我就感觉心疼，我不知道米哈游在原神上失败会怎样。,0,0,0,0,1
PC端的炮灰战士,1361,但我喜欢米哈游这家公司，我不希望看到他倒下，我从崩二到崩三一直都在，我玩游戏就是为了开心不是为了给自己添堵。所以等原神正式上线时我一定会入坑。再说一点我认为说抄袭并没有错，我没有玩过塞尔达荒野之息，但我看过直播（别跟我说什么云玩家，先把云玩家的定义理清楚）,0,0,0,0,1
PC端的炮灰战士,1361,为啥都在说抄袭，米哈游崩二崩三的时候咋没人跳出来说抄袭，崩三火了以后就这不对那不对早干啥去了。我个人觉得米哈游在国产手游里是最良心的了，因为他是真的把赚到的钱拿出来提升游戏品质而不是换个皮坑钱。这次的原神是米哈游在努力提升品质的一次尝试，虽然他确实和荒野之息太像了。,0,0,0,0,1
阿离没有伞3,1894,游戏什么时候出啊，等不及了,0,0,0,0,0
晚喵L,2767,爱了,0,0,0,1,0
话叨不嗦,2115,感觉这游戏火了本子是少不了的,0,0,0,0,0
OoooneDay,260,  到时候玩这个游戏，虽然是抄袭的,0,0,0,1,0
FallingSternenstaub30637,2581,什么时候二测呀，等的好辛苦[笑cry],0,0,0,0,0
没头脑吔不高兴,1842,  米哈游！,0,0,0,0,0
假面之月,2609,评论里那帮嚷嚷着抄袭的，爱玩不玩，二测的时候别跟我抢,0,0,1,0,0
火焰15710,1341,可真黑暗,0,0,0,0,0
真呼名子,368,[好崇拜哦],0,0,0,1,1
真呼名子,368,就冲这头衔！ 这游戏我买了。,0,0,0,1,1
真呼名子,368,[大拇指],0,0,0,1,1
真呼名子,368,老任有回应了吗？,0,0,0,1,1
暗金之鸦,2067,n,0,0,0,0,0
你可拉倒吧的家,2424,赛尔达你好,0,0,0,0,0
为昵感动,769, ,0,0,1,1,0
洛斯里克的活尸,2293,游戏啥时候出来啊!我还蛮期待的。,0,0,0,0,0
斯卡布萝,2699,还有多久能玩上,0,0,0,0,0
玄幻天米,2493,KO,0,0,1,0,0
AirBrighton,952,我只想问一句，什么时候pc可以玩？？？？ ,0,1,0,0,0
祈---s,2320,个人观点，说全抄是无脑黑了。，抄袭是有的，，但是说全抄就过分了，也有原创所在,0,0,0,0,0
YH残次品,1992,抄哪了？抄袭是什么？能请评论区的各位给个说法吗？,0,0,0,0,0
释王权,2353,我不想说什么，我有ns，如果是老任，se和玩家，怼原神的我觉得没什么，毕竟国产手游已经见惯了，但是腾讯，网易怼nm呢，五十步笑百步，骂别人，撒泡尿照照自己，一副德行，王者抄风暴技能，王牌战士不说了，网易还好一点一点点，有一些作品，腾讯你先好好发展你的next工作室吧,0,0,0,0,0
杨典侠,2742,原神加油(ง •̀_•́)ง,0,0,0,0,0
降在荒原,1833,"得嘞得嘞，现在喷的一个比一个猛，到时候指不定又跑来香一把是不是[挖鼻]？一个二个得着原神往死里喷，搞得自己多重视版权一样，说抄袭tx算得上元祖级别了，咋不见各位重视版权的小将们去伸张正义？举着版权的大盾然后无限膨胀自己优越感实属不可取 塞尔达120神庙全通,明天cj我就不去了 ，怕认错展台",0,0,0,0,0
你好鬼厉先生,278,  这一天终于还是来了,1,0,0,0,0
6大文豪6,2416,时间会证明一切。米哈游，我期待着。,0,0,0,1,0
四方羊尊,1529,各位版权卫士在吗？去吧，记得告诉我结果。提醒一下，举报是要实名制的，如果有虚报，是要付法律责任的。加油。,0,0,0,0,0
龙炎花火,2491,沙比鹅厂猪厂，刀塔与LOL与农药，杀鸡与补票人格，啥关系瞎子都明白，开着120迈的神庙车闪现CJ想把这块蛋糕搞得谁都吃不了，结果呢？事情闹得大家差点全都吃不了蛋糕，王牌、龙族风评成那样心里真没点B数，害人害己！游戏人的枷锁已经够重了，请水狗疯咬一场，让不让游戏人活了！！！！,0,0,0,0,0
风中摇曳zzzas,268,哟！还没死呢？,0,0,0,0,1
风中摇曳zzzas,268,倒闭警告,0,0,0,0,1
风中摇曳zzzas,268,日常过来看你倒闭,0,0,0,0,1
风中摇曳zzzas,268,请倒闭！,0,0,0,0,1
风中摇曳zzzas,268,贵公司还没倒闭啊？挺得过今年的中秋节么？,0,0,0,0,1
风中摇曳zzzas,268,你这个太假了吧。完全是在抄袭啊,0,0,0,0,1
风中摇曳zzzas,268,塞尔达加油！,0,0,0,0,1
回岸w韵,1623,评论区一片轰炸,1,0,0,0,0
仙御月,2392,哪个时候公测啊？等的我花都谢了[哼],0,0,0,0,0
白色透明玻璃胶,2760,想要二测资格啊！！！[二哈][二哈],0,0,0,0,1
白色透明玻璃胶,2760,想要二测资格，,0,0,0,0,1
龙丿月之传说_418,991,我没买ps4 我希望将来可以发售ns平台的《原神》,0,0,0,0,0
万里的追寻者41043,2594,啥时候公测啊[允悲],0,0,0,0,1
万里的追寻者41043,2594,真是太黑暗了啊[笑而不语],0,0,0,0,1
万里的追寻者41043,2594,都是ns的游戏确实可以有啊[doge],0,0,0,0,1
万里的追寻者41043,2594,都三个月过去了，竟然还有还有这种人，真是吃饱了撑着没事做。[吐],0,0,0,0,1
万里的追寻者41043,2594,抱歉，因为这事我对原神非常非常看好，真的，原神很可能改变国产游戏换皮的坏风气!,0,0,0,0,1
万里的追寻者41043,2594,终于碰见正常人了啊[允悲],0,0,0,0,1
万里的追寻者41043,2594,我也不知道,0,0,0,0,1
万里的追寻者41043,2594,凉?你真的想多了，现在原神热度不是一般的高[笑cry],0,0,0,0,1
万里的追寻者41043,2594,时间会证明一切，到时候等公测在看看实际情况。,0,0,0,0,1
万里的追寻者41043,2594,希望您别听风就是雨,0,0,0,0,1
万里的追寻者41043,2594,抄不抄袭不是一位微博博主写篇文章把自己主观感受写上去就能认定是抄袭的，到现在为止没有任何证据能石锤抄袭，只有那些人口嗨罢了。,0,0,0,0,1
万里的追寻者41043,2594,还没公测就说垃圾?[挖鼻],0,0,0,0,1
万里的追寻者41043,2594,你要是支持那个砸ps4丟人丟到外国去的人的话，那我也没法说什么了。,0,0,0,0,1
万里的追寻者41043,2594,拜托，抄袭这事情到现在你还不知道是假的吗。。。如果真的你觉得原神能活到现在，任天堂能不去告?都已经过去两个月了啊老哥。,0,0,0,0,1
万里的追寻者41043,2594,抄袭现在已经被否定了，别谁便更风行吗[黑线],0,0,0,0,1
万里的追寻者41043,2594,毕竟现在明理的人都知道原神并没有抄袭,0,0,0,0,1
万里的追寻者41043,2594,你去看看原神游戏评分已经从原来的四分涨到六分了，评分一星和五星五五开[笑而不语][笑cry],0,0,0,0,1
万里的追寻者41043,2594,而且自从tx自爆后好多人开始看清形式了,0,0,0,0,1
万里的追寻者41043,2594,现在也就微博这边惨了，其他地方形式开始逆转了[笑而不语],0,0,0,0,1
万里的追寻者41043,2594,难得一见,0,0,0,0,1
万里的追寻者41043,2594,虚的话，索尼能把原神放c位,0,0,0,0,1
万里的追寻者41043,2594,抽个奖吧，评论区看不下去了,0,0,0,0,1
万里的追寻者41043,2594,复制粘贴?,0,0,0,0,1
万里的追寻者41043,2594,地图炮开的真爽啊你,0,0,0,0,1
万里的追寻者41043,2594,到底谁的名声变臭，现在还不知道呢[笑而不语],0,0,0,0,1
万里的追寻者41043,2594,国外一堆人等着玩呢,0,0,0,0,1
万里的追寻者41043,2594,有创新的,0,0,0,0,1
万里的追寻者41043,2594,如果原神是癌症，那国产游戏就完了,0,0,0,0,1
万里的追寻者41043,2594,节奏别带了,0,0,0,0,1
万里的追寻者41043,2594,看pv看不出什么，要等公测，喷也得游戏出来了在喷啊[笑而不语],0,0,0,0,1
万里的追寻者41043,2594,还既视感吗？,0,0,0,0,1
万里的追寻者41043,2594,坐等公测打脸[笑而不语],0,0,0,0,1
柴俊猫16625,2678,米哈游确实名声不怎么好，都有难处，说抄袭的可以，你们喜欢喷抄袭的可以看看谁家抄袭的游戏多，去那喷喷，是不是别的游戏请你们来黑的，我虽然有时候看米忽悠也来气，但都不容易。,0,0,1,0,1
柴俊猫16625,2678,抄袭这个话题有意思，可以问问其他现在的游戏有几个是原创的。那是黑粉,0,0,1,0,1
小透明菜叶心,2235,老板啥时候二测啊，等的花儿都谢了,0,0,0,0,0
Pixel76,215,官方给我硬起来，这帮赛吹也是够了，好好看看著作权法什么算是抄袭。,0,0,0,0,0
阿杰杰杰杰杰丶,2064,所以啥时候公测！,0,0,0,0,0
暮小翊,853,无脑洗的人蠢，无脑黑带节奏的人坏，无脑跟风黑的人又蠢又坏。,0,0,0,0,0
狂兔X,1733,特来微博观战,0,0,0,0,0
神道天穹,2248,节奏大师好多，我顶不住了，这个社会，唉，当年流浪地球我也去顶过，和喷子对线。微博真的烂了，捧着腾讯网易的厂，欺负小厂，给钱帮忙，不给就死，像极了一群网络流氓，果然只有利益永恒。你说是抄袭就是抄袭，你说借鉴就借鉴。你说什么就是什么，你算个什么东西？你是法律?不带利益关系的游戏界权威?,0,0,0,0,0
神道天穹,2248,还真就大厂嗷,0,0,0,0,0
元首的胖次00658,2629,第一次上微博，实话说吧，微博基本上是垃圾场，粪坑，看不下去。原神是借鉴了，但根本不是照着源代码抄，原创游戏是不可能，就连塞尔达传说，伟大的战神都不是原创，我也不知道一群跟风狗瞎掺和什么，神秘海域和古墓丽影都没想你们这样撕。游戏定论尚不知道，理性评论，盲目跟风黑名单即可。,0,0,1,0,1
元首的胖次00658,2629,公测都没有，别怕到时候嫌疑地方最好全改了狠狠黑子两个耳光。王者荣耀不也这样过来的。。。,0,0,1,0,1
元首的胖次00658,2629,网易和腾讯也如此，呵呵。,0,0,1,0,1
灰燕l,1805,哇看到之后吓得我直接卸载了崩2和崩3，到了能不能退钱啊，算了卖号吧[二哈][二哈],0,0,0,1,0
鹤唳MOE,2756,看了几个试玩的实况，感觉还可以，期待,0,0,0,1,0
用户6629913103,2530,我为原神换手机,0,0,0,0,1
用户6629913103,2530,我大原神牛逼,0,0,0,0,1
雪染00000,2344,没玩过什么塞尔达，要是手机出来了我就要玩了，毕竟，手机上没有这种的游戏，看一测的水平我心动了。二次元卡牌我真是玩够了，崩坏三角色基本全了也玩腻了，yj不算玩，因为莫得理智，开石头天天开也开不起。不过秋季活动有的玩了手动滑稽,0,0,0,0,1
雪染00000,2344,没玩过什么塞尔达，要是手机出来了我就要玩了，毕竟，手机上没有这种的游戏，二次元卡牌我真是玩够了，崩坏三角色基本全了也玩腻了，yj不算玩，因为莫得理智，其他的阿宅游戏基本没啥了吧。我不管什么游戏抄袭不抄袭，只希望原神不会受到影响，尽量早点上线，内测没抢到…（惨案）,0,0,0,0,1
雪染00000,2344,只有要上线是这水平，游戏体验良好的话，我tm氪爆,0,0,0,0,1
康师傅养生面,2487,太黑暗了，愿光明指引我们~故  我在,0,0,1,1,0
三分钟的Alence,1857,ios哪里下载啊,0,0,0,1,0
Allanpoe黑猫,2097,我就当联机塞尔达玩了，很多人骂归骂。买还是会买，因为抄塞尔达就不可能不好玩，但我会记得这不是米哈游的实力，你做不出来,0,0,0,0,0
Allanpoe黑猫,2097,他们抄的是塞尔达，那就不可能不好玩懂吧？但是这不是他们自己的心血和实力，记住这点,0,0,0,0,0
Oyu·,1721,吃相不要太难看,0,0,0,0,0
左凡GT,1357,不要丢脸啊,0,0,0,0,0
随和的农铭010,2207,你们这帮喷子有完没完？爬墙，游泳，滑翔伞，你们还有其他姿势吗？哥布林，史莱姆难道不是公用资源吗？这个画风难道不是，米哈游的画风吗？,0,0,0,0,0
研_________永远的新人,21,哎，为啥国内抄别人的东西不动脑子，你抄得让人看不出来，没有既视感不就行了么？这么一目了然的既视感，世界的玩家都觉得看不下去了,0,0,0,0,0
用户ysg2kn7stw,78,最佳国产游戏就只能非艾希莫属了,0,0,0,0,0
搞怪阿毛,1335,恍恍惚惚到了8月8日了，啥时候才能一起玩喃~~,0,0,0,0,0
TheXgoisw,2720,  ,0,0,0,1,0
嚛嗣嚛,2607,各位光明之子，请问教廷是哪个方向？听说那里在发抚恤金，我想补贴补贴家用。,0,0,0,0,0
为你依蓝,2415,抄不抄袭无所谓，毕竟我是一名玩家，为了玩而玩，世界上游戏很多，撞车的也很多，难道就因为一些地方相似就不玩了？国产游戏虽然很多厂商都走不出抄袭借鉴的怪圈。但也不能不抱有希望。也希望国内游戏厂商都能加把劲，要有自己的核心。我什么游戏都玩，也挺期待原神，但也不希望原神走向一个错误的道路,0,0,0,0,0
从心的白泽,2078,期待原神(๑˙ー˙๑),0,0,0,0,0
灵华之城,1819,我想知道有没有人就中国游戏公司和日本游戏公司，两个国家的角度来评论这个问题的，平时抵制日本这个抵制日本呢个现在又反过来帮日本打到中国公司，是不是不爱国的亲日表现[二哈][二哈][二哈]咋样，这个帽子扣的可以吧。,0,0,0,0,0
灵华之城,1819,这难道不是国产游戏的一道光吗？,0,0,0,0,0
迷眼鳴,2626,各位版权卫士在吗？去吧，记得告诉我结果。提醒一下，举报是要实名制的，如果有虚报，是要负法律责任的。加油。,0,0,0,0,0
小叻ROKA,451,  ,0,0,0,1,0
小叻ROKA,451,之前有关注过，这么快就出了,0,0,0,1,0
小叻ROKA,451,2333,0,0,0,1,0
aicevhy,2450,挺住,0,0,0,0,0
拜拉席恩·橡木盾,2749,为什么不抽原神：荒野之息？,0,0,0,0,0
阿飘TinnedFish,433,终于可以在ps4 上玩到塞尔达了！[doge],1,0,0,0,0
6410046023_517,2351,好意思吗？,0,0,0,0,0
雨37546,2757,不管怎样加油吧(ง •̀_•́)ง(ง •̀_•́)ง,0,0,0,0,0
Aiuo2018,2418,死宅的钱真好赚～,0,0,0,1,0
ToKei酱,1284,Mihoyo这波秒啊，先做个一看就能看出来“借鉴”的游戏，然后请一波水军，去和骂的人吵，把热度炒上来，开服后自然有一群人来玩，妙啊妙啊,0,0,0,0,0
陌樱璃Cc,2664,腾讯水军继续啊有用吗你喷任你喷我们米哈游的玩家继续玩我们少你们几个玩家还是怎么了[吃瓜][吃瓜][吃瓜],0,0,1,1,1
陌樱璃Cc,2664,我寻思全中国就我一个人不知道塞达尔了?,0,0,1,1,1
lu_luella,399,是觉得崩坏没人骂就胆肥了吧？！,0,0,0,0,0
安洁与庞,2012,这里也有鹅厂水军？,0,0,1,0,0
#NAME?,422,[打脸][打脸][打脸],0,0,0,0,0
Apeirokalia-,1224,[吐][吐][吐][吐],0,0,0,0,0
煎饼的红领巾更鲜艳了,832,  来看看有多不要脸,0,0,0,0,0
飞翔湖南人,2059,[吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐],0,0,0,1,1
飞翔湖南人,2059,“在野外战斗成功清理掉营地敌人之后，游戏还会给一个营地箱子解锁的特写”看了实况，这他妈的一模一样啊，其他一样的就不提了！简直恶心！本来我以为你就PV碰瓷呢，你们准备整个游戏都碰瓷塞尔达传说是吗？亏得我还帮你们说好话！你们好歹留点自己的东西在自己的游戏里面吧！哪怕一点呢！,0,0,0,1,1
焦糖红辣椒,1492,借鉴也借鉴不到点子上，拿过来给塞一堆花里胡哨既视感爆表的烂街角色一点新意都没有。,0,0,0,0,1
焦糖红辣椒,1492,场面弄这么大一点都不嫌丢人么[费解],0,0,0,0,1
焦糖红辣椒,1492,花Q[doge],0,0,0,0,1
夏天1227,54,下次抄个大表哥呗，每年抄个年度最佳就够了,0,0,0,0,0
尅埜,1407,我真是够了，我发现我玩的ns游戏塞尔达传说和这个游戏好像。我怎么玩一个日本山寨游戏？虽然有的人说什么滑翔，游泳，攀爬只允许你原神有？射个箭我就抄你原神了？场景看起来像？只允许你原神有草地？这群洗地的真可恶，抄了就是抄了，国产游戏之光，不容你这山寨垃圾玷污！我再也不玩塞尔达了,0,0,0,0,0
尅埜,1407,有专家说了，ui那个不算抄。就算你看起来原神那个料理的界面就像个山寨版的那也不是抄，就这样设计的。[笑而不语]换个说法吧，借鉴。好听一点，,0,0,0,0,0
虚空冲锋,2286,抄袭自重嗷,0,0,0,1,0
TaTaG,162,唉。,0,0,0,0,0
黑麒麒,2229,我去，这个游戏抄的真不错[赞][赞]漂亮！给中国游戏涨脸！,0,0,0,0,0
支持米哈游键盘侠不服打我,2737,我说句实话喷子没你们说原神抄了这些，莫非你们还能给我搞个拉弓从胯下射吗？跑步是用来爬着走的吗？滑翔伞是用来踩着走的吗？你们当什么不好偏要当弟弟？,0,0,0,0,1
支持米哈游键盘侠不服打我,2737,支持米哈游,0,0,0,0,1
Kidwills,1188,莫名的眼熟.....,0,0,0,0,0
辫辫今天画画了吗,634,抄袭游戏拿出来丢人丢到家了[微笑]米哈游你们烂了，技术宅拯救个狗屁世界，抄袭宅,0,0,0,0,0
unadertale,1521,这游戏除了安全裤是原创的哪里不是抄[太开心][太开心],0,0,0,1,0
海盐芝仕,2656,什么时候公测啊,0,0,0,0,0
现世劫,1463,看到微博一个老哥说：寨尔达,0,0,0,0,0
TowerNeya,1758,搞快点，我管你抄没抄，给爷整快点，爷要玩,0,0,0,1,0
我门牙碎了,467,哈哈哈 呕[嘻嘻],0,0,0,0,0
创世界AP57017,2506,别问，问就黑暗,0,0,0,0,1
创世界AP57017,2506,各位版权卫士在吗？去吧，记得告诉我结果。提醒一下，举报是要实名制的，如果有虚报，是要付法律责任的。加油,0,0,0,0,1
痛哭的栗子88110,2755,支持米哈游,0,0,0,0,0
ps4apex英雄代练,2121,不买就是了 全都不买看看哪个憨憨买这个[嘻嘻],0,0,0,0,0
消灭奥特曼的计划_,1027,塞尔达,0,0,0,0,0
简单复杂否,328,不要脸！！！！,0,0,0,0,0
大麻烦蛋,2665,我呸,0,0,0,0,0
何其坪,350,醒你妈啊！我林克不睡觉吗？,0,0,0,0,1
何其坪,350,哇，塞尔达续作出来了？牛逼呀！！！,0,0,0,0,1
猫叠单数,2662,这游戏一出必死,0,0,0,0,1
猫叠单数,2662,抄宁妈的塞尔达呢？垃圾玩意快死吧,0,0,0,0,1
猫叠单数,2662,你妈今晚必死,0,0,0,0,1
NoNo纸,550,狗屁东西,0,0,0,0,0
