F_UserName,User_nIdx,F_Comment,Comment_nIdx
Eternal心晗11203,2674,米哈游加油＾０＾~,48
-iLan,2374,为什么不送switch和塞尔达？,49
猫某人f,2397,加油啊,50
养老养老没头发了,2771,什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线什么时候上线,51
快乐少年亚索,1459,老抽奖，放点干货瞧瞧啊[悲伤],52
北原滝,2220,呜呜呜呜,53
红鲤鱼与绿鲤鱼与驴--233,1561,啥时候ps4平台测试啊[悲伤],54
星空下的特图,2725,让一让，我拖个地[doge],55
凉宫呆唯,2583,混蛋啥时候二测，记得给我个资格，啊啊啊,56
废宅臭打游戏的不会懂人间温柔,1305,牛逼！塞尔达明目张胆的抄袭我们国产游戏！任天堂过分了啊！我明天就把我的switch皮卡丘限定机子砸了！说不定皮卡丘就是抄袭我国优良手游的！,57
柳小枫666,1696,所以说，你到底什么时候公测,58
幽远tom,1784,支持原神，加油！[憧憬],59
乐酷烤鱼Lucky,2458,赶紧出吧，[可怜],60
猪屁味冬瓜茶,2545,微博果然是中国战狼集聚地[鼓掌][鼓掌],61
让我成为自己的锚,15,5812条评论,62
眠悠然,1914,可以玩开心的游戏就是好游戏，不管是怎么做出来的，赚钱也是这个道理，这个社会就是那么现实[二哈],63
圈圈喵酱,1321,  [鼓掌],64
苟殉,1745,期待，什么时候出成品游玩啊,65
古韵流年5675516293,1743,想要内测资格 ,66
卖火柴的小男孩9160,1691,这不是塞尔达吗,67
让我成为自己的锚,15,你们上了ps4，虽然觉得不太可能了不过我还是希望可以的话上switch就可以让那些利益者闭嘴了,68
可怕的喵2333,1273,米哈游加油，原神要做好啊，明年一定玩,69
身在人间的阿叶,2769,加油！,70
墨色鹤望兰,2589,塞尔达玩腻了，吹的有点过，其实一般，神庙都太简单了，啥时候能玩上原神啊，真香,71
YZM27368,2480,在，给个内测码？  [悲伤],72
小朱老師有墨水,856,什么时候公测？,73
少女不到80斤,378, ,74
sven1207,2645,什么时候公测啊，等不及了,75
斗鱼大明星梦想,2222,恭喜原神过审,76
让我成为自己的锚,15,过审了，快开服呗,77
有一种云vvv,1151,太黑暗了,78
PC端的炮灰战士,1361,之后我会去买一套塞尔达荒野之息补票，以表敬意,79
PC端的炮灰战士,1361,我也是个玩家，我也知道国产游戏圈的现状，但这次我不论如何我都支持米哈游，我不想看到米哈游倒下。如果说就是我这种人阻碍了中国游戏的发展那我认了，想喷的就过来喷吧，就算被喷死我也不会收回我说过的话。还有瓶子他是我很喜欢的UP主，虽然他的话让我很难受但他也没说错。,80
PC端的炮灰战士,1361,俩款游戏的视频解说我也都看过确实很像，让谁来对比都是一样，所以被说成抄袭无可厚非。但游戏史上最黑暗的一天就是胡扯了，当年的腾讯在满世界抄游戏时也没见有多大浪啊。每次看到有玩家在狂喷原神时我就感觉心疼，我不知道米哈游在原神上失败会怎样。,81
PC端的炮灰战士,1361,但我喜欢米哈游这家公司，我不希望看到他倒下，我从崩二到崩三一直都在，我玩游戏就是为了开心不是为了给自己添堵。所以等原神正式上线时我一定会入坑。再说一点我认为说抄袭并没有错，我没有玩过塞尔达荒野之息，但我看过直播（别跟我说什么云玩家，先把云玩家的定义理清楚）,82
PC端的炮灰战士,1361,为啥都在说抄袭，米哈游崩二崩三的时候咋没人跳出来说抄袭，崩三火了以后就这不对那不对早干啥去了。我个人觉得米哈游在国产手游里是最良心的了，因为他是真的把赚到的钱拿出来提升游戏品质而不是换个皮坑钱。这次的原神是米哈游在努力提升品质的一次尝试，虽然他确实和荒野之息太像了。,83
让我成为自己的锚,15,出ps5了会上ps5吗,84
阿离没有伞3,1894,游戏什么时候出啊，等不及了,85
晚喵L,2767,爱了,86
话叨不嗦,2115,感觉这游戏火了本子是少不了的,87
OoooneDay,260,  到时候玩这个游戏，虽然是抄袭的,88
提尔乌斯,1,加油！期待！,89
FallingSternenstaub30637,2581,什么时候二测呀，等的好辛苦[笑cry],90
没头脑吔不高兴,1842,  米哈游！,91
假面之月,2609,评论里那帮嚷嚷着抄袭的，爱玩不玩，二测的时候别跟我抢,92
火焰15710,1341,可真黑暗,93
真呼名子,368,[好崇拜哦],94
暗金之鸦,2067,n,95
你可拉倒吧的家,2424,赛尔达你好,96
为昵感动,769, ,97
快乐少年亚索,1459,留个言，冒个泡，话说粉丝有点少,98
洛斯里克的活尸,2293,游戏啥时候出来啊!我还蛮期待的。,99
斯卡布萝,2699,还有多久能玩上,100
玄幻天米,2493,KO,101
AirBrighton,952,我只想问一句，什么时候pc可以玩？？？？ ,102
祈---s,2320,个人观点，说全抄是无脑黑了。，抄袭是有的，，但是说全抄就过分了，也有原创所在,103
YH残次品,1992,抄哪了？抄袭是什么？能请评论区的各位给个说法吗？,104
释王权,2353,我不想说什么，我有ns，如果是老任，se和玩家，怼原神的我觉得没什么，毕竟国产手游已经见惯了，但是腾讯，网易怼nm呢，五十步笑百步，骂别人，撒泡尿照照自己，一副德行，王者抄风暴技能，王牌战士不说了，网易还好一点一点点，有一些作品，腾讯你先好好发展你的next工作室吧,105
杨典侠,2742,原神加油(ง •̀_•́)ง,106
降在荒原,1833,"得嘞得嘞，现在喷的一个比一个猛，到时候指不定又跑来香一把是不是[挖鼻]？一个二个得着原神往死里喷，搞得自己多重视版权一样，说抄袭tx算得上元祖级别了，咋不见各位重视版权的小将们去伸张正义？举着版权的大盾然后无限膨胀自己优越感实属不可取 塞尔达120神庙全通,明天cj我就不去了 ，怕认错展台",107
你好鬼厉先生,278,  这一天终于还是来了,108
6大文豪6,2416,时间会证明一切。米哈游，我期待着。,109
四方羊尊,1529,各位版权卫士在吗？去吧，记得告诉我结果。提醒一下，举报是要实名制的，如果有虚报，是要付法律责任的。加油。,110
龙炎花火,2491,沙比鹅厂猪厂，刀塔与LOL与农药，杀鸡与补票人格，啥关系瞎子都明白，开着120迈的神庙车闪现CJ想把这块蛋糕搞得谁都吃不了，结果呢？事情闹得大家差点全都吃不了蛋糕，王牌、龙族风评成那样心里真没点B数，害人害己！游戏人的枷锁已经够重了，请水狗疯咬一场，让不让游戏人活了！！！！,111
风中摇曳zzzas,268,哟！还没死呢？,112
回岸w韵,1623,评论区一片轰炸,113
仙御月,2392,哪个时候公测啊？等的我花都谢了[哼],114
白色透明玻璃胶,2760,想要二测资格啊！！！[二哈][二哈],115
龙丿月之传说_418,991,我没买ps4 我希望将来可以发售ns平台的《原神》,116
万里的追寻者41043,2594,啥时候公测啊[允悲],117
柴俊猫16625,2678,米哈游确实名声不怎么好，都有难处，说抄袭的可以，你们喜欢喷抄袭的可以看看谁家抄袭的游戏多，去那喷喷，是不是别的游戏请你们来黑的，我虽然有时候看米忽悠也来气，但都不容易。,118
小透明菜叶心,2235,老板啥时候二测啊，等的花儿都谢了,119
Pixel76,215,官方给我硬起来，这帮赛吹也是够了，好好看看著作权法什么算是抄袭。,120
阿杰杰杰杰杰丶,2064,所以啥时候公测！,121
暮小翊,853,无脑洗的人蠢，无脑黑带节奏的人坏，无脑跟风黑的人又蠢又坏。,122
狂兔X,1733,特来微博观战,123
神道天穹,2248,节奏大师好多，我顶不住了，这个社会，唉，当年流浪地球我也去顶过，和喷子对线。微博真的烂了，捧着腾讯网易的厂，欺负小厂，给钱帮忙，不给就死，像极了一群网络流氓，果然只有利益永恒。你说是抄袭就是抄袭，你说借鉴就借鉴。你说什么就是什么，你算个什么东西？你是法律?不带利益关系的游戏界权威?,124
元首的胖次00658,2629,第一次上微博，实话说吧，微博基本上是垃圾场，粪坑，看不下去。原神是借鉴了，但根本不是照着源代码抄，原创游戏是不可能，就连塞尔达传说，伟大的战神都不是原创，我也不知道一群跟风狗瞎掺和什么，神秘海域和古墓丽影都没想你们这样撕。游戏定论尚不知道，理性评论，盲目跟风黑名单即可。,125
万里的追寻者41043,2594,真是太黑暗了啊[笑而不语],126
灰燕l,1805,哇看到之后吓得我直接卸载了崩2和崩3，到了能不能退钱啊，算了卖号吧[二哈][二哈],127
鹤唳MOE,2756,看了几个试玩的实况，感觉还可以，期待,128
用户6629913103,2530,我为原神换手机,129
用户6629913103,2530,我大原神牛逼,130
雪染00000,2344,没玩过什么塞尔达，要是手机出来了我就要玩了，毕竟，手机上没有这种的游戏，看一测的水平我心动了。二次元卡牌我真是玩够了，崩坏三角色基本全了也玩腻了，yj不算玩，因为莫得理智，开石头天天开也开不起。不过秋季活动有的玩了手动滑稽,131
雪染00000,2344,没玩过什么塞尔达，要是手机出来了我就要玩了，毕竟，手机上没有这种的游戏，二次元卡牌我真是玩够了，崩坏三角色基本全了也玩腻了，yj不算玩，因为莫得理智，其他的阿宅游戏基本没啥了吧。我不管什么游戏抄袭不抄袭，只希望原神不会受到影响，尽量早点上线，内测没抢到…（惨案）,132
雪染00000,2344,只有要上线是这水平，游戏体验良好的话，我tm氪爆,133
康师傅养生面,2487,太黑暗了，愿光明指引我们~故  我在,134
白色透明玻璃胶,2760,想要二测资格，,135
三分钟的Alence,1857,ios哪里下载啊,136
Allanpoe黑猫,2097,我就当联机塞尔达玩了，很多人骂归骂。买还是会买，因为抄塞尔达就不可能不好玩，但我会记得这不是米哈游的实力，你做不出来,137
Oyu·,1721,吃相不要太难看,138
左凡GT,1357,不要丢脸啊,139
随和的农铭010,2207,你们这帮喷子有完没完？爬墙，游泳，滑翔伞，你们还有其他姿势吗？哥布林，史莱姆难道不是公用资源吗？这个画风难道不是，米哈游的画风吗？,140
研_________永远的新人,21,哎，为啥国内抄别人的东西不动脑子，你抄得让人看不出来，没有既视感不就行了么？这么一目了然的既视感，世界的玩家都觉得看不下去了,141
用户ysg2kn7stw,78,最佳国产游戏就只能非艾希莫属了,142
搞怪阿毛,1335,恍恍惚惚到了8月8日了，啥时候才能一起玩喃~~,143
TheXgoisw,2720,  ,144
嚛嗣嚛,2607,各位光明之子，请问教廷是哪个方向？听说那里在发抚恤金，我想补贴补贴家用。,145
为你依蓝,2415,抄不抄袭无所谓，毕竟我是一名玩家，为了玩而玩，世界上游戏很多，撞车的也很多，难道就因为一些地方相似就不玩了？国产游戏虽然很多厂商都走不出抄袭借鉴的怪圈。但也不能不抱有希望。也希望国内游戏厂商都能加把劲，要有自己的核心。我什么游戏都玩，也挺期待原神，但也不希望原神走向一个错误的道路,146
从心的白泽,2078,期待原神(๑˙ー˙๑),147
灵华之城,1819,我想知道有没有人就中国游戏公司和日本游戏公司，两个国家的角度来评论这个问题的，平时抵制日本这个抵制日本呢个现在又反过来帮日本打到中国公司，是不是不爱国的亲日表现[二哈][二哈][二哈]咋样，这个帽子扣的可以吧。,148
迷眼鳴,2626,各位版权卫士在吗？去吧，记得告诉我结果。提醒一下，举报是要实名制的，如果有虚报，是要负法律责任的。加油。,149
小叻ROKA,451,  ,150
aicevhy,2450,挺住,151
拜拉席恩·橡木盾,2749,为什么不抽原神：荒野之息？,152
阿飘TinnedFish,433,终于可以在ps4 上玩到塞尔达了！[doge],153
6410046023_517,2351,好意思吗？,154
雨37546,2757,不管怎样加油吧(ง •̀_•́)ง(ง •̀_•́)ง,155
Aiuo2018,2418,死宅的钱真好赚～,156
ToKei酱,1284,Mihoyo这波秒啊，先做个一看就能看出来“借鉴”的游戏，然后请一波水军，去和骂的人吵，把热度炒上来，开服后自然有一群人来玩，妙啊妙啊,157
陌樱璃Cc,2664,腾讯水军继续啊有用吗你喷任你喷我们米哈游的玩家继续玩我们少你们几个玩家还是怎么了[吃瓜][吃瓜][吃瓜],158
lu_luella,399,是觉得崩坏没人骂就胆肥了吧？！,159
安洁与庞,2012,这里也有鹅厂水军？,160
-葉書,422,[打脸][打脸][打脸],161
Apeirokalia-,1224,[吐][吐][吐][吐],162
煎饼的红领巾更鲜艳了,832,  来看看有多不要脸,163
飞翔湖南人,2059,[吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐][吐],164
焦糖红辣椒,1492,借鉴也借鉴不到点子上，拿过来给塞一堆花里胡哨既视感爆表的烂街角色一点新意都没有。,165
焦糖红辣椒,1492,场面弄这么大一点都不嫌丢人么[费解],166
焦糖红辣椒,1492,花Q[doge],167
夏天1227,54,下次抄个大表哥呗，每年抄个年度最佳就够了,168
尅埜,1407,我真是够了，我发现我玩的ns游戏塞尔达传说和这个游戏好像。我怎么玩一个日本山寨游戏？虽然有的人说什么滑翔，游泳，攀爬只允许你原神有？射个箭我就抄你原神了？场景看起来像？只允许你原神有草地？这群洗地的真可恶，抄了就是抄了，国产游戏之光，不容你这山寨垃圾玷污！我再也不玩塞尔达了,169
虚空冲锋,2286,抄袭自重嗷,170
TaTaG,162,唉。,171
黑麒麒,2229,我去，这个游戏抄的真不错[赞][赞]漂亮！给中国游戏涨脸！,172
支持米哈游键盘侠不服打我,2737,我说句实话喷子没你们说原神抄了这些，莫非你们还能给我搞个拉弓从胯下射吗？跑步是用来爬着走的吗？滑翔伞是用来踩着走的吗？你们当什么不好偏要当弟弟？,173
支持米哈游键盘侠不服打我,2737,支持米哈游,174
Kidwills,1188,莫名的眼熟.....,175
辫辫今天画画了吗,634,抄袭游戏拿出来丢人丢到家了[微笑]米哈游你们烂了，技术宅拯救个狗屁世界，抄袭宅,176
unadertale,1521,这游戏除了安全裤是原创的哪里不是抄[太开心][太开心],177
海盐芝仕,2656,什么时候公测啊,178
现世劫,1463,看到微博一个老哥说：寨尔达,179
TowerNeya,1758,搞快点，我管你抄没抄，给爷整快点，爷要玩,180
我门牙碎了,467,哈哈哈 呕[嘻嘻],181
创世界AP57017,2506,别问，问就黑暗,182
痛哭的栗子88110,2755,支持米哈游,183
ps4apex英雄代练,2121,不买就是了 全都不买看看哪个憨憨买这个[嘻嘻],184
消灭奥特曼的计划_,1027,塞尔达,185
简单复杂否,328,不要脸！！！！,186
大麻烦蛋,2665,我呸,187
何其坪,350,醒你妈啊！我林克不睡觉吗？,188
猫叠单数,2662,这游戏一出必死,189
猫叠单数,2662,抄宁妈的塞尔达呢？垃圾玩意快死吧,190
NoNo纸,550,狗屁东西,191
士多啤梨屁,890,哈哈哈哈来吃ACG的瓜[笑cry][笑cry][笑cry][笑cry] （这个抄袭的也太司马了吧,192
糖葫芦不酸吖,884, ,193
小夏i22633,1977,原神对线群，你行你就来，755953800,194
DoctorDax,1713,真丢人，垃圾,195
杉吾史吾,1171,太恶心人了,196
杉吾史吾,1171,脏东西,197
一个满格的wifi,1851,永远不要理会谣言与重伤,198
Enlien丶,1866,垃圾游戏,199
袁yy06119,2122,米哈游没有妈,200
inxxk236,2475,东半球最强法务部联合腾讯南山法院请求一战!,201
惊讶ghia,1081,图片评论,202
成承承承承承承承,1299,米卫兵上线[doge]期待无能狂吼[污][污],203
东南亚大马猴子,604,呸,204
白圭君,329,图片评论,205
好像喝奶茶,2043,还原神作，恶心人,206
兔兔谈谈,2169,除了口嗨，你们还能干什么[挖鼻],207
三三一L,1714,加油迷糊游 希望你们早日倒闭,208
水无抈流歌,2421,要脸吗要脸吗要脸吗,209
逢坂英14380,2473,和东半球最强法务部对线？,210
酱腌绯玉丸,1957,也许评论区的都是塞尔达玩家吧,211
酱腌绯玉丸,1957,吃瓜,212
小唐Thomas,887,要点脸不？,213
逆天围脖_,147,"技术牛逼,但策划死妈????????????裁缝作品?",214
阴气阴湿阴险少女,2619,你马没了,215
谜样神君,966,美术风格...还有战斗画面...真的...巨像塞尔达...结合另一部手游看，米哈游同时面对两个争议问题：1.一致的游戏模式改写剧本和美术风格算不算抄袭；2.一致的美术风格改写剧本和部分游戏模式算不算抄袭,216
魔化铭文Tisiphone,522,你就告诉我  会不会有氪金系统！,217
NOBO哒,774,恶心，恶心啊，恶心死了，恶心！,218
星野爱弋,2752,建议上架ns骑脸输出[太开心],219
--领衔主演--,65,居然没有《异度神剑》的影子，莫非奶刃团不配被模仿？？？差评,220
元气燃烧卡路里,2488,   游戏全网抵制真的运行的下去？？？,221
Chersan_,454, ,222
想变白的天长,648,到底是给索尼塞了多少红包。。,223
刘贝贝er,1240,丢中国人的脸,224
打死那个沢学家61589,2668,有本事你上ns,225
MC不好玩QAQ_772,1517,为啥不送ns？歧视任天堂？,226
静谧西林,293,祝原神暴死[鼓掌],227
烟花飞渡似水流年61558,1626,期待一波不知道什么配置可以带。。。。。。,228
Airshuaishuai,265,蠢,229
Vincent___威少,781,  ,230
仮面ZORO,1436,别把这种烂作跟塞尔达相提并论，抄都抄差原作十万八千里,231
逃跑到月球后发现,1336,原来你送ps4pro是这意思[二哈][二哈]d区,232
C纯属娱乐,1507,抄袭狗  米哈游,233
兔兔谈谈,2169,一个7年的游戏公司，下面这些说的我[偷笑],234
lucks00,1590, ,235
何其坪,350,哇，塞尔达续作出来了？牛逼呀！！！,236
彼方桑-k,1198,米哈游真特么有你的[吐][吐],237
阿桑奇求武器,2336,给我台ns？,238
Mountain-E,317,乔碧罗请求代言,239
夏日追阴,2658,搭配起来非常的不合适，很别扭没发现?地图的画风不适合人物的画风，人物的画风不适合滑跑的姿势。,240
无语PK,157,这草地……这气流……这他妈,241
呦西呦YUki,2568,这次我康康那些键盘侠敢去搞事的[吃瓜],242
采蘑菇的我是谁1234,2021,上ps4了，加油，把号翻出来了，就为了挺你,243
银羽是画渣,1107,真建议在公测前可以多加点原创内容，改掉一些特效的表现，希望公测的时候给一种换了游戏的感觉，被骂了那么久，做人还是要有点骨气。不要厚着脸皮装死一直到公测。,244
兔兔谈谈,2169,真觉得你们烦了,245
vic豹,1497,  谢谢老板[二哈],246
呵呵呵呵不了情_01,1858,如何一分钱不花吧一个游戏宣传出去[允悲],247
风中摇曳zzzas,268,倒闭警告,248
Ahtaler,2549,居然有PC！原神加油，米哈游冲冲冲！,249
水无抈流歌,2421,求求你快点被起诉打不过官司的那种[嘻嘻][嘻嘻],250
库-丘林_Alter,1319,所以说有没有去烧米忽悠的 搞快点,251
bingo4665,2322,塞尔达抄袭原神，建议你们立刻组织法务对任天堂提起诉讼[太开心],252
风中摇曳zzzas,268,日常过来看你倒闭,253
风中摇曳zzzas,268,请倒闭！,254
唯爱绝殤,2366,能给我内测资格么求你了我真的想玩……！,255
米卫兵没有马76320,2745,米卫兵 没有妈 尤其是 ,256
米卫兵没有马76320,2745,害 我是真的服辣 米卫兵 属实可怕 偷图强行给自己找牌面  我玩过塞尔达传说黄昏公主直到野炊熬 我玩过鬼泣345熬 我玩过AC全系列熬 一张从复苏神庙刚出来的图这是玩过？一张毫无意义的鬼泣5截图 明眼人一看就是偷的图 我服辣 ,257
Kehan_Zhang,2528,继续加油抄出更厉害的屎喂你的米卫兵垃圾玩家吧，相信你们可以,258
Rmbaci,1250,我们项目组立项之后一年都没有进展 自从玩了塞尔达之后茅塞顿开[兔子],259
Rmbaci,1250,那些洗地的米卫兵 能不能爪巴 看的爷要吐了,260
十玄子,2399,跳票警告,261
忘掉梦想的愚蠢地球人,326,日常一问，你令天还没垮吗？抄袭狗～[太开心][太开心],262
宋氏夜型鱼,1711,苹果和Windows系统都是抄袭的施乐，说是照搬也不为过，求求你们别用Windows了好8,263
kono呱呱岛,226,按到这么多人在骂原神舒服了,264
kono呱呱岛,226,恶臭行为，妈死了,265
青春纪念12138,2266, ,266
冰茶_Hunter,988,抄袭司马,267
_Drm丶梦想,1516,啥时候出。 ,268
风中摇曳zzzas,268,贵公司还没倒闭啊？挺得过今年的中秋节么？,269
害怕眨眼睛,1610,怎么，国内盗版时代过去了，现在开始抄袭时代了吗？你们还想不想其他好游戏自带汉化了？任天堂当时因为什么退出国内市场的你们心里没点数？,270
咕王永不服输,2249,真为国产游戏悲哀。。。。 我一个玩家都为此羞愧你们居然还洋洋自喜。。。,271
-豬咪日記-,2431,观望等结果,272
桃之夭夭85427,2734,安卓服什么时候才能上线啊！,273
潇章至极,2305,哈哈呵呵,274
M善泽吧,2157,不用挣了，出了之后，我们该玩还玩，只要不倒咱就玩呗。争来争去没意义，怎么，还非得让我们玩日本的，游戏？？还非得买什么ns？对对对，你们有钱。真的是，中国发什么，外国人称赞，却每次都是国内人在那里吵吵，说这不干，说那不好，也是醉了。,275
本熊与曦,1755,哈特诺海还行,276
命君行道,2125,设什么游戏玩我无聊死了,277
命君行道,2125,什么时候可以玩啊,278
澜言heir,2484,真像塞尔达,279
风一样的小阿呆,1117,啥时候让我玩,280
黄金粉皮鼠,1936,投了多少钱 有没有花精力在做游戏啊  干嘛要抄袭啊，难道以后说中国游戏全靠抄吗,281
要不要和我扳手腕81282,2635,我只想早点玩到这款游戏  不管他抄没抄袭,282
Silvercrown丶银冠,2267,正义的我不能坐视不管了.jpg,283
江户川帅毛,1680,麻烦回炉重做，中国开发组丢不起这个脸,284
wjc59473,2731,我想玩啊 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,285
wjc59473,2731,视频不就是预告吗,286
wjc59473,2731,中奖是不可能的,287
wjc59473,2731,中奖是不可能的这辈子都不可能,288
任胖AWSL,233,快2测吧！,289
网友牙飞飞,2472,你们真当没人玩过塞尔达…,290
ringringhappy_666,1269,画面是我喜欢的类型，挺想玩的[二哈][二哈][二哈],291
风中摇曳zzzas,268,你这个太假了吧。完全是在抄袭啊,292
北珂23333,2727,ps4呵呵,293
顾北青烟寒,2156,管他们说啥的，好玩就玩啊，我玩啥游戏还要征求他们意见咋滴，我上大学读研工作娱乐不我自己怎么喜欢怎么来，他们几句不疼不痒的话还能影响到我么，自以为喷别人很爽，实际人家压根没放在心上，或者看都没看到，我过我自己的生活，喷子关我鸟事，何况很多喷子生活比我差多了，应该同情他。,294
喵诗人nya,1906,反正有塞尔达续作玩，谁玩你这垃圾，没648能玩？,295
Fashion你们不懂,1961,PS4上玩旷野之息指日可待[允悲][允悲][允悲][允悲],296
书上的河,1056,十分喜欢这款游戏。,297
一般通过咸鱼,1603,在？为什么不抽ns？连爹都不认了？,298
社会军规二十三,111,该改的地方就该吧。别回头等东半球最强法务部的律师函上门就好玩了。你说例子……之前某只猫已经身体力行验证了。,299
麻吉麻-,1327,希望游戏暴死[污],300
qwepoizxcmnbv,1845,吐痰[太开心],301
喔闷骇行吧,1235,搞不明白，如果真抄袭任天堂自然会通过法律途径追究责任，结果现在任天堂还没动静，玩家先作出判决了，有点厉害,302
神女控5542376338,1574,  期待安卓开测,303
薄荷巴乔,692,在b站在贴吧一直都只是看着别人玩塞尔达，真的是不错佷想玩，问题是没主机，前两天才知道有 原神 这一回事，手机上能玩和塞尔达一样的游戏把我高兴坏了，这下可圆梦了，希望别让我等太久！,304
Y口十子,7,希望制作人员全家升天,305
想要一直开心真的是太难了,2184,在这随便喷，麻烦有的人别因为原神抄袭就跑到崩崩崩那无脑黑，恶心人,306
风中摇曳zzzas,268,塞尔达加油！,307
sirsirssirr,2233,为啥奖品不是switch啊？,308
flag之王也不想立flag,1898,不觉得可耻吗,309
Morgana_5,163,真的好丢人啊,310
心事说给影子听_20210,2329,多久上线呢,311
良友人_,1741,我对抄袭什么的并不在意，也不是什么游戏的脑残粉，游戏做好我玩好就行了，那些整天说抄袭怎么怎么样的出来后别玩啊，别真香啊[doge],312
简直日了狗了,587,扫墓,313
爱童不泯,875,后续发展与非: 一，正式版和pv一样，那你们的策划执行团队也太该考虑下分类成什么垃圾的问题了，核心玩法可以借鉴，但你至少有自己的创意在里面，直接缝合怪可太优秀了！ 二，正式版和pv完全不是一款产品，那你们的公关推广团队也太粪了，靠恶心人来炒热度简直是下限。 两者都有？真特么可以呀米裁粪！,314
别开腔_自己人,2145,实在找不到好抄袭的  建议你多看看国内动作电影  比如：武器可以用笛子啊什么的   懒得开创 抄现成的 不好  实在没点子  开放玩家有奖征集   好的游戏不怕玩家等待   赶紧改吧   之前的白抄了,315
本同学不喝可乐,1186,脸呢,316
星殇不悔,2552,如果不是冒出来这么一款手游，我都不知道有塞尔达这另一款游戏，话说，你知道吗,317
提尔乌斯,1,加油米哈游，期待原神的公测[鼓掌][鼓掌],318
冰白__,974,特地围观，瞧瞧这是人干的事吗……,319
